time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-31 00:00:00+00:00,27,12,2,1
2026-04-01 00:00:00+00:00,9,5,0,0
2026-04-02 00:00:00+00:00,11,5,0,0
2026-04-03 00:00:00+00:00,17,8,0,0
2026-04-04 00:00:00+00:00,10,5,0,0
2026-04-05 00:00:00+00:00,4,4,0,0
2026-04-06 00:00:00+00:00,19,7,1,1
2026-04-07 00:00:00+00:00,7,6,1,1
2026-04-08 00:00:00+00:00,4,3,1,1
2026-04-09 00:00:00+00:00,28,9,11,1
2026-04-10 00:00:00+00:00,18,6,0,0
2026-04-11 00:00:00+00:00,12,7,0,0
2026-04-12 00:00:00+00:00,2,2,0,0
2026-04-13 00:00:00+00:00,2,2,0,0
