time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,24,9,0,0
2026-06-09 00:00:00+00:00,6,6,0,0
2026-06-10 00:00:00+00:00,19,7,1,1
2026-06-11 00:00:00+00:00,31,11,0,0
2026-06-12 00:00:00+00:00,19,9,0,0
2026-06-13 00:00:00+00:00,25,9,0,0
2026-06-14 00:00:00+00:00,22,7,2,1
2026-06-15 00:00:00+00:00,32,12,0,0
2026-06-16 00:00:00+00:00,26,7,0,0
2026-06-17 00:00:00+00:00,25,8,0,0
2026-06-18 00:00:00+00:00,15,5,2,1
2026-06-19 00:00:00+00:00,25,6,0,0
2026-06-20 00:00:00+00:00,26,6,0,0
2026-06-21 00:00:00+00:00,31,8,0,0
