time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,28,9,11,1
2026-04-10 00:00:00+00:00,18,6,0,0
2026-04-11 00:00:00+00:00,12,7,0,0
2026-04-12 00:00:00+00:00,2,2,0,0
2026-04-13 00:00:00+00:00,2,2,0,0
2026-04-14 00:00:00+00:00,5,4,0,0
2026-04-15 00:00:00+00:00,5,5,0,0
2026-04-16 00:00:00+00:00,22,7,0,0
2026-04-17 00:00:00+00:00,12,5,0,0
2026-04-18 00:00:00+00:00,7,6,0,0
2026-04-19 00:00:00+00:00,24,10,0,0
2026-04-20 00:00:00+00:00,43,19,2,1
2026-04-21 00:00:00+00:00,53,24,0,0
2026-04-22 00:00:00+00:00,82,28,0,0
