IDX,SHORT_Q,EW_5,EW_50,EW_95,EW_MEAN,COOKE_5,COOKE_50,COOKE_95,COOKE_MEAN,PARENT
16,"Next 100 years, andesitic magma, Hydrovolcanic/Continuos ash emission eruption",13.584067493246623,60.8097417402195,93.26479409032665,57.92698087114562,18.8216243839739,75.27343207198628,93.6430434194812,66.54273768048554,12
17,"Next 100 years, andesitic magma, Violent Strombolian eruption",11.900745314462686,52.073982734351326,90.51850997607906,50.13190548121387,12.982962347998932,62.37527570474934,93.04328195322381,58.73646303514089,12
18,"Next 100 years, andesitic magma, SubPlinian eruption",5.201732869397633,29.69313137022273,81.4512438151603,34.6492699738443,6.857204903996052,39.322313498394536,84.56686745309621,40.86884497949357,12
19,"Next 100 years, andesitic magma, Plinian eruption",1.4556253182966477,15.101377647060296,60.68252466137435,20.10853325364202,2.3066583517474926,19.476210844317983,45.667456562086095,21.01151135181483,12
20,"Next 100 years, andesitic magma, other eruption type",1.274568334542956,10.48726499343104,56.04210031214796,16.904972956179474,1.547494998985324,8.980237324731084,43.56612486510655,13.23077992289918,12
21,"SubPlinian rhyolitic, duration",9.124873094534438,190.74272467863307,4431.5353470063865,172.71121306825574,17.15294366346596,161.4368861983279,6188.575472629216,198.48910881766656,-1
22,"SubPlinian rhyolitic, total mass fallout",320238.0331929631,33875209201.81977,783752620366.9801,12502464623.395443,3069749429.037645,51234259696.671585,737842887859.0876,51494969211.20058,-1
23,"SubPlinian rhyolitic, average plume height",1843.0805121925068,16859.066242914596,28182.06713618061,13928.47448132431,6611.893731336144,15845.775298994417,24929.209187533135,14595.125526575677,-1
24,"Plinian rhyolitic, duration",14.5503917134356,334.55858230811384,9946.867642021325,293.8891500452581,28.41353038436803,360.0709473512678,13071.730221286092,383.232780111501,-1
25,"Plinian rhyolitic, total mass fallout",2964587.9025155827,488050297661.07605,47791824716969.9,180431388999.95172,30339968606.365997,413207327319.644,6499789297280.488,440395687825.0919,-1
26,"Plinian rhyolitic, average plume height",5606.464704281336,26310.003099006677,39598.79438881738,22124.79794618359,11058.713707215216,24383.22513450511,39211.09298118325,23251.915877089607,-1
27,"Hydrovolcanic/Continuos ash emission andesitic, duration",35.19880600930562,45972.986245040054,797440.2261706131,18911.480026505924,287.93020493653086,39329.12857963536,1046957.3926099339,30881.819987581723,-1
28,"Hydrovolcanic/Continuos ash emission andesitic, total mass fallout",12145.63251019026,870837150.0014212,62477019497.38124,198994466.88260132,145741.1394347784,834323304.0740826,107072267376.23393,463536021.3983555,-1
29,"Hydrovolcanic/Continuos ash emission andesitic, average plume height",209.61387552940099,3050.1070416749726,12668.820918529009,2680.8958609315323,325.3374850173948,3928.7965019115722,13698.92298850195,3254.7419633653576,-1
30,"Violent Strombolian andesitic, duration",6.145963787076039,44.44996248279893,3796.6562436931627,70.91114384447408,6.6512090163961455,44.205202135060475,4283.050816885041,68.35130890689824,-1
31,"Violent Strombolian andesitic, total mass fallout",3779056.9184645764,880782355.7428292,55574463979.89818,776066092.3962518,13452364.807608806,5833695801.369228,75178287255.90665,3277103717.6745863,-1
32,"Violent Strombolian andesitic, average plume height",1471.3398201622754,9616.679684852545,26465.20097979196,8121.052150006003,1651.7977184111685,8380.39739641576,16689.734500806917,7210.296817053641,-1
33,"SubPlinian andesitic, duration",8.481103410635933,58.49074793672034,6311.06145999684,83.21165543510094,9.723692072151321,76.530555006405,9097.630734214306,115.20640934905825,-1
34,"SubPlinian andesitic, total mass fallout",36812998.48991596,18942133772.015823,313585732124.97986,10577556735.038637,1312547284.4794157,31962885149.91127,381894388037.4465,27026999529.03841,-1
35,"SubPlinian andesitic, average plume height",7302.149123292968,19404.73919107332,27681.564167053188,17510.040739145392,6526.146463003783,18206.13649438225,24989.186130320246,16363.302622490299,-1
36,"Plinian andesitic, duration",12.1882930319961,152.76738857519325,12481.741810352067,184.30513475769484,11.245774767675158,181.10445783872717,17992.611001766512,230.94863448138025,-1
37,"Plinian andesitic, total mass fallout",46030057.186077975,283313323711.4739,10224952718755.615,169964559428.65033,14929477719.746758,232631105543.69812,2969175700402.3755,242843968343.62717,-1
38,"Plinian andesitic, average plume height",13295.772574894752,25866.12897759142,35898.5331514503,24664.946631982642,13365.92944592882,25580.721930217936,34884.1688943573,24239.923886651235,-1
